id,title,title_url,tmdb_poster_path,tmdb_backdrop_path
449563,"Isn't It Romantic",isn't_it_romantic,/5xNBYXuv8wqiLVDhsfqCOr75DL7.jpg,/5xNBYXuv8wqiLVDhsfqCOr75DL7.jpg
450001,"Master Z: Ip Man Legacy",master_z_ip_man_legacy,/puPdv7xyTM8Zidli3TPjWbAPcWJ.jpg,/puPdv7xyTM8Zidli3TPjWbAPcWJ.jpg
450465,Glass,glass,/gt5KPtwDMeIOPdVfmjYlFw9EetE.jpg,/gt5KPtwDMeIOPdVfmjYlFw9EetE.jpg
452832,Serenity,serenity,/hgWAcic93phg4DOuQ8NrsgQWiqu.jpg,/hgWAcic93phg4DOuQ8NrsgQWiqu.jpg
453755,Arctic,arctic,/w9GVlRteCgY103DN8CdFik3HUhO.jpg,/w9GVlRteCgY103DN8CdFik3HUhO.jpg
454294,"The Kid Who Would Be King",the_kid_who_would_be_king,/aWENxGrJmXmHvifG6x2aYnpovXI.jpg,/aWENxGrJmXmHvifG6x2aYnpovXI.jpg
457136,"Mary Queen of Scots",mary_queen_of_scots,/b5RMzLAyq5QW6GtN9sIeAEMLlBI.jpg,/b5RMzLAyq5QW6GtN9sIeAEMLlBI.jpg
463272,"Johnny English Strikes Again",johnny_english_strikes_again,/ryACHOzmRJiJEKjatbokudfkO74.jpg,/ryACHOzmRJiJEKjatbokudfkO74.jpg
463684,"Velvet Buzzsaw",velvet_buzzsaw,/3rViQPcrWthMNecp5XnkKev6BzW.jpg,/3rViQPcrWthMNecp5XnkKev6BzW.jpg
465914,"If Beale Street Could Talk",if_beale_street_could_talk,/qhUIOTSi3kr4290tKrVyeriyvrv.jpg,/qhUIOTSi3kr4290tKrVyeriyvrv.jpg
466282,"To All the Boys I've Loved Before",to_all_the_boys_i've_loved_before,/hKHZhUbIyUAjcSrqJThFGYIR6kI.jpg,/hKHZhUbIyUAjcSrqJThFGYIR6kI.jpg
471507,Destroyer,destroyer,/r09pvRkUKxKa9uHyMifpMHnA38a.jpg,/r09pvRkUKxKa9uHyMifpMHnA38a.jpg
480530,"Creed II",creed_ii,/v3QyboWRoA4O9RbcsqH8tJMe8EB.jpg,/v3QyboWRoA4O9RbcsqH8tJMe8EB.jpg
483906,Polar,polar,/qOBEpKVLl8Q9CZScbOcRRVISezV.jpg,/qOBEpKVLl8Q9CZScbOcRRVISezV.jpg
484247,"A Simple Favor",a_simple_favor,/aIYsjQM0piKc0ibPBCTWv3sqshj.jpg,/aIYsjQM0piKc0ibPBCTWv3sqshj.jpg
487558,BlacKkKlansman,blackkklansman,/55W6mUVv4CXMMQHHhV2zXtLSpXQ.jpg,/55W6mUVv4CXMMQHHhV2zXtLSpXQ.jpg
487672,"Reign of the Supermen",reign_of_the_supermen,/jKqe91SItNh7NWs52yiu8xNOFsj.jpg,/jKqe91SItNh7NWs52yiu8xNOFsj.jpg
489999,Searching,searching,/pk9R56ZFlofbBzfwBnHlDyg5DMs.jpg,/pk9R56ZFlofbBzfwBnHlDyg5DMs.jpg
490132,"Green Book",green_book,/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg,/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg
491622,Manikarnika,manikarnika,/3myAsvD8IKTUsyeBLtrXsR2uWzp.jpg,/3myAsvD8IKTUsyeBLtrXsR2uWzp.jpg
493488,"Buffalo Boys",buffalo_boys,/kjrJCUYriu3cxzBKa5iuIXzEOD6.jpg,/kjrJCUYriu3cxzBKa5iuIXzEOD6.jpg
503314,"Dragon Ball Super: Broly",dragon_ball_super_broly,/f03YksE4NggUjG75toz4H1YAGRf.jpg,/f03YksE4NggUjG75toz4H1YAGRf.jpg
503616,"Second Act",second_act,/maUMIZVGs8g1hYtq4dQ9Lg9FtVF.jpg,/maUMIZVGs8g1hYtq4dQ9Lg9FtVF.jpg
504172,"The Mule",the_mule,/t0idiLMalKMj2pLsvqHrOM4LPdQ.jpg,/t0idiLMalKMj2pLsvqHrOM4LPdQ.jpg
508763,"A Dog's Way Home",a_dog's_way_home,/pZn87R7gtmMCGGO8KeaAfZDhXLg.jpg,/pZn87R7gtmMCGGO8KeaAfZDhXLg.jpg
514710,"Modest Heroes",modest_heroes,/5jURYLaG6BX0klRHsiHc3pzOlOm.jpg,/5jURYLaG6BX0klRHsiHc3pzOlOm.jpg
516630,"The Standoff at Sparrow Creek",the_standoff_at_sparrow_creek,/uCyDJGQ54vcCclNqa6nLcSqH3DQ.jpg,/uCyDJGQ54vcCclNqa6nLcSqH3DQ.jpg
522681,"Escape Room",escape_room,/8yZAx7tlKRZIg7pJfaPhl00yHIQ.jpg,/8yZAx7tlKRZIg7pJfaPhl00yHIQ.jpg
547760,"Canal Street",canal_street,/wul9VJ0J7drwOcJT19ILqjILfu0.jpg,/wul9VJ0J7drwOcJT19ILqjILfu0.jpg
561362,"Rust Creek",rust_creek,/rd8kbkcvdNTByYKDqY2FyxlhhCy.jpg,/rd8kbkcvdNTByYKDqY2FyxlhhCy.jpg
564147,"K.G.F: Chapter 1",kgf_chapter_1,/ltHlJwvxKv7d0ooCiKSAvfwV9tX.jpg,/ltHlJwvxKv7d0ooCiKSAvfwV9tX.jpg
567604,"Once Upon a Deadpool",once_upon_a_deadpool,/5Ka49BWWyKMXr93YMbH5wLN7aAM.jpg,/5Ka49BWWyKMXr93YMbH5wLN7aAM.jpg
567738,"American Hangman",american_hangman,/nWQTrJU71YpChiAZAmGH3RLtsfK.jpg,/nWQTrJU71YpChiAZAmGH3RLtsfK.jpg
567860,Fyre,fyre,/yFsP0BAJhAH3RTXCAnGvI1CtaUb.jpg,/yFsP0BAJhAH3RTXCAnGvI1CtaUb.jpg
